name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),price_range,price_range_sort
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,Premium (₹601-1000),3
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari,Premium (₹601-1000),3
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,Premium (₹601-1000),3
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Quick Bites,"South Indian, North Indian",300.0,Buffet,Banashankari,Budget (₹0-300),1
Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600.0,Buffet,Banashankari,Mid Range (₹301-600),2
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600.0,Buffet,Banashankari,Mid Range (₹301-600),2
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,Premium (₹601-1000),3
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,Mid Range (₹301-600),2
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700.0,Cafes,Banashankari,Premium (₹601-1000),3
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,Mid Range (₹301-600),2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500.0,Cafes,Banashankari,Mid Range (₹301-600),2
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600.0,Cafes,Banashankari,Mid Range (₹301-600),2
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,Mid Range (₹301-600),2
Caf-Eleven,No,No,4.0,424,Banashankari,Cafe,"Cafe, Continental",450.0,Cafes,Banashankari,Mid Range (₹301-600),2
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Cafes,Banashankari,Premium (₹601-1000),3
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650.0,Cafes,Banashankari,Premium (₹601-1000),3
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,Premium (₹601-1000),3
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari,Premium (₹601-1000),3
T3H Cafe,No,No,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300.0,Cafes,Banashankari,Budget (₹0-300),1
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,Mid Range (₹301-600),2
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400.0,Cafes,Banashankari,Mid Range (₹301-600),2
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,Mid Range (₹301-600),2
Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari,Premium (₹601-1000),3
My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,Mid Range (₹301-600),2
Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,Cafe,300.0,Cafes,Banashankari,Budget (₹0-300),1
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari,Mid Range (₹301-600),2
Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200.0,Cafes,Banashankari,Budget (₹0-300),1
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,Mid Range (₹301-600),2
Cuppa,No,No,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari,Mid Range (₹301-600),2
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,Mid Range (₹301-600),2
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600.0,Cafes,Banashankari,Mid Range (₹301-600),2
Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,Pizza,750.0,Delivery,Banashankari,Premium (₹601-1000),3
Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,Biryani,650.0,Delivery,Banashankari,Premium (₹601-1000),3
Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery,Banashankari,Mid Range (₹301-600),2
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,Premium (₹601-1000),3
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari,Budget (₹0-300),1
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,Budget (₹0-300),1
Havyaka Mess,No,No,3.9,28,Banashankari,Mess,South Indian,300.0,Delivery,Banashankari,Budget (₹0-300),1
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Banashankari,Mid Range (₹301-600),2
Hotboxit,No,No,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari,Budget (₹0-300),1
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,Mid Range (₹301-600),2
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850.0,Delivery,Banashankari,Premium (₹601-1000),3
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,Budget (₹0-300),1
Petoo,No,No,3.7,21,Banashankari,Quick Bites,North Indian,450.0,Delivery,Banashankari,Mid Range (₹301-600),2
Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,Budget (₹0-300),1
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,Premium (₹601-1000),3
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,Mid Range (₹301-600),2
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,Mid Range (₹301-600),2
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300.0,Delivery,Banashankari,Budget (₹0-300),1
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200.0,Delivery,Banashankari,Budget (₹0-300),1
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,Premium (₹601-1000),3
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150.0,Delivery,Banashankari,Budget (₹0-300),1
1947,No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850.0,Delivery,Banashankari,Premium (₹601-1000),3
Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150.0,Delivery,Banashankari,Budget (₹0-300),1
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,Mid Range (₹301-600),2
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100.0,Delivery,Banashankari,Budget (₹0-300),1
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,Luxury (₹1000+),4
Sugar Rush,No,No,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,Budget (₹0-300),1
Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari,Mid Range (₹301-600),2
The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Delivery,Banashankari,Mid Range (₹301-600),2
