cuisines,rate,votes,location,online_order,book_table
North Indian,4.1,775,Banashankari,Yes,Yes
Mughlai,4.1,775,Banashankari,Yes,Yes
Chinese,4.1,775,Banashankari,Yes,Yes
Chinese,4.1,787,Banashankari,Yes,No
North Indian,4.1,787,Banashankari,Yes,No
Thai,4.1,787,Banashankari,Yes,No
Cafe,3.8,918,Banashankari,Yes,No
Mexican,3.8,918,Banashankari,Yes,No
Italian,3.8,918,Banashankari,Yes,No
South Indian,3.7,88,Banashankari,No,No
North Indian,3.7,88,Banashankari,No,No
North Indian,3.8,166,Basavanagudi,No,No
Rajasthani,3.8,166,Basavanagudi,No,No
North Indian,3.8,286,Basavanagudi,Yes,No
North Indian,3.6,8,Mysore Road,No,No
South Indian,3.6,8,Mysore Road,No,No
Andhra,3.6,8,Mysore Road,No,No
Chinese,3.6,8,Mysore Road,No,No
Pizza,4.6,2556,Banashankari,Yes,Yes
Cafe,4.6,2556,Banashankari,Yes,Yes
Italian,4.6,2556,Banashankari,Yes,Yes
Cafe,4.0,324,Banashankari,Yes,No
Italian,4.0,324,Banashankari,Yes,No
Continental,4.0,324,Banashankari,Yes,No
Cafe,4.2,504,Banashankari,Yes,No
Mexican,4.2,504,Banashankari,Yes,No
Italian,4.2,504,Banashankari,Yes,No
Momos,4.2,504,Banashankari,Yes,No
Beverages,4.2,504,Banashankari,Yes,No
Cafe,4.1,402,Banashankari,Yes,No
Cafe,4.2,150,Banashankari,Yes,Yes
Italian,4.2,150,Banashankari,Yes,Yes
Continental,4.2,150,Banashankari,Yes,Yes
Cafe,4.2,164,Banashankari,Yes,Yes
Chinese,4.2,164,Banashankari,Yes,Yes
Continental,4.2,164,Banashankari,Yes,Yes
Italian,4.2,164,Banashankari,Yes,Yes
Cafe,4.0,424,Banashankari,No,No
Continental,4.0,424,Banashankari,No,No
Cafe,3.8,918,Banashankari,Yes,No
Mexican,3.8,918,Banashankari,Yes,No
Italian,3.8,918,Banashankari,Yes,No
Cafe,3.8,90,Banashankari,Yes,No
Cafe,3.9,133,Banashankari,Yes,No
Fast Food,3.9,133,Banashankari,Yes,No
Continental,3.9,133,Banashankari,Yes,No
Chinese,3.9,133,Banashankari,Yes,No
Momos,3.9,133,Banashankari,Yes,No
Chinese,3.8,144,Banashankari,Yes,No
Cafe,3.8,144,Banashankari,Yes,No
Italian,3.8,144,Banashankari,Yes,No
Cafe,3.9,93,Banashankari,No,No
Italian,3.9,93,Banashankari,No,No
American,3.9,93,Banashankari,No,No
Cafe,3.1,13,Banashankari,Yes,No
Chinese,3.1,13,Banashankari,Yes,No
Continental,3.1,13,Banashankari,Yes,No
Italian,3.1,13,Banashankari,Yes,No
Cafe,3.0,62,Banashankari,Yes,No
North Indian,3.0,62,Banashankari,Yes,No
Cafe,3.7,180,Banashankari,Yes,No
Pizza,3.7,180,Banashankari,Yes,No
Fast Food,3.7,180,Banashankari,Yes,No
Beverages,3.7,180,Banashankari,Yes,No
Cafe,3.6,28,Banashankari,No,No
Fast Food,3.6,28,Banashankari,No,No
Italian,3.6,62,Banashankari,Yes,No
Fast Food,3.6,62,Banashankari,Yes,No
Cafe,3.6,62,Banashankari,Yes,No
European,3.6,62,Banashankari,Yes,No
Cafe,3.7,31,Banashankari,No,No
Cafe,3.2,11,Banashankari,No,No
Bakery,3.2,11,Banashankari,No,No
Cafe,3.8,75,Banashankari,Yes,No
South Indian,3.8,75,Banashankari,Yes,No
Cafe,3.3,4,Banashankari,No,No
Fast Food,3.3,4,Banashankari,No,No
Beverages,3.3,4,Banashankari,No,No
Cafe,3.3,23,Banashankari,No,No
Fast Food,3.3,23,Banashankari,No,No
North Indian,3.8,148,Basavanagudi,No,No
Cafe,3.8,148,Basavanagudi,No,No
Chinese,3.8,148,Basavanagudi,No,No
Fast Food,3.8,148,Basavanagudi,No,No
Cafe,4.0,219,Basavanagudi,Yes,No
Italian,4.0,219,Basavanagudi,Yes,No
North Indian,2.8,506,Banashankari,Yes,No
Fast Food,2.8,506,Banashankari,Yes,No
Chinese,2.8,506,Banashankari,Yes,No
Burger,2.8,506,Banashankari,Yes,No
Bakery,3.9,35,Banashankari,Yes,No
Desserts,3.9,35,Banashankari,Yes,No
Pizza,3.9,172,Banashankari,Yes,No
North Indian,4.2,415,Banashankari,Yes,No
Biryani,4.2,415,Banashankari,Yes,No
Fast Food,4.2,415,Banashankari,Yes,No
Biryani,3.9,230,Banashankari,Yes,No
North Indian,2.8,91,Banashankari,Yes,No
Chinese,2.8,91,Banashankari,Yes,No
Fast Food,2.8,91,Banashankari,Yes,No
Chinese,4.2,1647,Banashankari,Yes,No
Thai,4.2,1647,Banashankari,Yes,No
Momos,4.2,1647,Banashankari,Yes,No
North Indian,4.4,4884,Jayanagar,Yes,No
Mughlai,4.4,4884,Jayanagar,Yes,No
South Indian,4.4,4884,Jayanagar,Yes,No
Chinese,4.4,4884,Jayanagar,Yes,No
South Indian,4.0,17,Banashankari,Yes,No
Street Food,3.8,133,Basavanagudi,Yes,No
Fast Food,3.8,133,Basavanagudi,Yes,No
South Indian,3.9,28,Banashankari,No,No
Burger,3.9,286,Banashankari,Yes,No
Fast Food,3.9,286,Banashankari,Yes,No
Pizza,3.9,540,Banashankari,Yes,No
Fast Food,3.9,540,Banashankari,Yes,No
Pizza,4.6,2556,Banashankari,Yes,Yes
Cafe,4.6,2556,Banashankari,Yes,Yes
Italian,4.6,2556,Banashankari,Yes,Yes
North Indian,3.8,36,Banashankari,No,No
Continental,3.8,36,Banashankari,No,No
Italian,3.8,36,Banashankari,No,No
North Indian,3.6,244,Kumaraswamy Layout,Yes,No
Chinese,3.6,244,Kumaraswamy Layout,Yes,No
North Indian,4.0,804,Kumaraswamy Layout,Yes,No
Chinese,4.0,804,Kumaraswamy Layout,Yes,No
Biryani,4.0,804,Kumaraswamy Layout,Yes,No
Rolls,4.0,804,Kumaraswamy Layout,Yes,No
Chinese,3.7,679,Rajarajeshwari Nagar,Yes,No
Thai,3.7,679,Rajarajeshwari Nagar,Yes,No
North Indian,3.1,245,Kumaraswamy Layout,Yes,No
Chinese,3.1,245,Kumaraswamy Layout,Yes,No
Momos,3.1,245,Kumaraswamy Layout,Yes,No
Rolls,3.1,245,Kumaraswamy Layout,Yes,No
North Indian,3.7,21,Banashankari,No,No
Fast Food,4.1,28,Vijay Nagar,Yes,No
Street Food,4.1,28,Vijay Nagar,Yes,No
Beverages,4.1,28,Vijay Nagar,Yes,No
Ice Cream,4.3,345,Banashankari,No,No
Desserts,4.3,345,Banashankari,No,No
Biryani,4.0,618,Jayanagar,Yes,No
North Indian,4.0,618,Jayanagar,Yes,No
Chinese,4.0,618,Jayanagar,Yes,No
Andhra,4.0,618,Jayanagar,Yes,No
South Indian,4.0,618,Jayanagar,Yes,No
Italian,4.0,1047,Banashankari,No,No
Continental,4.0,1047,Banashankari,No,No
Fast Food,4.0,1047,Banashankari,No,No
Chinese,4.0,1047,Banashankari,No,No
Momos,4.0,1047,Banashankari,No,No
Healthy Food,3.9,627,Banashankari,Yes,No
Chinese,3.9,627,Banashankari,Yes,No
Biryani,3.9,627,Banashankari,Yes,No
North Indian,3.9,627,Banashankari,Yes,No
Continental,3.9,627,Banashankari,Yes,No
Salad,3.9,627,Banashankari,Yes,No
American,3.9,627,Banashankari,Yes,No
Burger,3.9,627,Banashankari,Yes,No
Biryani,3.8,104,Banashankari,Yes,No
Fast Food,3.8,104,Banashankari,Yes,No
Asian,4.2,354,Banashankari,Yes,Yes
Korean,4.2,354,Banashankari,Yes,Yes
Japanese,4.2,354,Banashankari,Yes,Yes
Chinese,4.2,354,Banashankari,Yes,Yes
Thai,4.2,354,Banashankari,Yes,Yes
Momos,4.2,354,Banashankari,Yes,Yes
Fast Food,3.6,55,Banashankari,No,No
Burger,3.6,55,Banashankari,No,No
Desserts,3.7,17,Banashankari,Yes,No
Beverages,3.7,17,Banashankari,Yes,No
Italian,4.2,244,Banashankari,No,No
North Indian,4.2,244,Banashankari,No,No
Mexican,4.2,244,Banashankari,No,No
Goan,3.6,163,Kumaraswamy Layout,Yes,Yes
Seafood,3.6,163,Kumaraswamy Layout,Yes,Yes
North Indian,3.6,163,Kumaraswamy Layout,Yes,Yes
Chinese,3.6,163,Kumaraswamy Layout,Yes,Yes
Biryani,3.6,163,Kumaraswamy Layout,Yes,Yes
Chinese,3.8,58,Basavanagudi,Yes,No
North Indian,4.0,808,Banashankari,No,Yes
Chinese,4.0,808,Banashankari,No,Yes
Bakery,3.7,78,Banashankari,No,No
North Indian,4.1,1720,Basavanagudi,Yes,No
Kebab,4.1,1720,Basavanagudi,Yes,No
Chinese,4.1,1720,Basavanagudi,Yes,No
Fast Food,4.1,1720,Basavanagudi,Yes,No
South Indian,3.6,34,Jayanagar,Yes,No
Continental,4.1,868,Banashankari,No,No
Italian,4.1,868,Banashankari,No,No
Mexican,4.1,868,Banashankari,No,No
North Indian,4.1,868,Banashankari,No,No
Chinese,4.1,868,Banashankari,No,No
Steak,4.1,868,Banashankari,No,No
Bakery,3.8,39,Banashankari,No,No
Desserts,3.8,39,Banashankari,No,No
Burger,3.2,71,Basavanagudi,Yes,No
Fast Food,3.2,71,Basavanagudi,Yes,No
Beverages,3.2,71,Basavanagudi,Yes,No
Italian,3.6,6,Banashankari,Yes,No
North Indian,3.6,6,Banashankari,Yes,No
Biryani,3.6,6,Banashankari,Yes,No
Biryani,4.1,520,Banashankari,No,No
Chinese,4.1,520,Banashankari,No,No
Kebab,4.1,520,Banashankari,No,No
Chinese,2.9,84,Banashankari,No,No
Continental,2.9,84,Banashankari,No,No
Italian,2.9,84,Banashankari,No,No
North Indian,2.9,84,Banashankari,No,No
Fast Food,3.6,299,Banashankari,No,No
Rolls,3.6,299,Banashankari,No,No
Momos,3.6,299,Banashankari,No,No
South Indian,4.1,558,Basavanagudi,Yes,No
Biryani,3.6,28,Banashankari,Yes,No
South Indian,3.6,28,Banashankari,Yes,No
Fast Food,3.7,22,Banashankari,No,No
South Indian,3.8,39,Banashankari,No,No
Chinese,3.8,39,Banashankari,No,No
North Indian,3.8,39,Banashankari,No,No
Seafood,3.8,153,Vijay Nagar,Yes,No
North Indian,3.8,153,Vijay Nagar,Yes,No
Chinese,3.8,153,Vijay Nagar,Yes,No
Andhra,3.8,153,Vijay Nagar,Yes,No
Biryani,3.8,153,Vijay Nagar,Yes,No
Kebab,3.8,153,Vijay Nagar,Yes,No
Beverages,4.2,146,Banashankari,Yes,No
Desserts,4.2,146,Banashankari,Yes,No
Ice Cream,4.2,146,Banashankari,Yes,No
Mithai,3.5,14,Banashankari,No,No
Street Food,3.5,14,Banashankari,No,No
North Indian,3.8,42,Banashankari,No,No
Chinese,3.8,42,Banashankari,No,No
Bakery,4.0,66,Banashankari,No,No
Desserts,4.0,66,Banashankari,No,No
Biryani,4.4,4401,Jayanagar,Yes,No
North Indian,4.4,4401,Jayanagar,Yes,No
Chinese,4.4,4401,Jayanagar,Yes,No
North Indian,3.5,31,Banashankari,No,No
Desserts,3.5,7,Banashankari,No,No
Biryani,3.7,21,Banashankari,No,No
Ice Cream,3.2,9,Banashankari,No,No
North Indian,2.6,283,Banashankari,No,No
